Lucas Barbosa, Extremo derecho, 24, Brasil, Red Bull Bragantino
Ignacio Laquintana, Extremo derecho, 26, Uruguay, Red Bull Bragantino
Kawê, Extremo derecho, 22, Brasil, Red Bull Bragantino
Thiago Borbas, Delantero centro, 23, Uruguay, Red Bull Bragantino
Isidro Pitta, Delantero centro, 25, Paraguay, Red Bull Bragantino
Fernando, Delantero centro, 26, Brasil, Red Bull Bragantino
Eduardo Sasha, Delantero centro, 33, Brasil, Red Bull Bragantino
John Victor, Portero, 29, Brasil, Botafogo de Futebol e Regatas
Léo Linck, Portero, 24, Brasil, Botafogo de Futebol e Regatas
Raul, Portero, 27, Brasil, Botafogo de Futebol e Regatas
Jair Cunha, Defensa central, 20, Brasil, Botafogo de Futebol e Regatas
Alexander Barboza, Defensa central, 30, Argentina, Botafogo de Futebol e Regatas
David Ricardo, Defensa central, 22, Brasil, Botafogo de Futebol e Regatas
Bastos, Defensa central, 34, Angola, Botafogo de Futebol e Regatas
Philipe Sampaio, Defensa central, 30, Brasil, Botafogo de Futebol e Regatas
Alex Telles, Lateral izquierdo, 32, Brasil, Botafogo de Futebol e Regatas
Cuiabano, Lateral izquierdo, 22, Brasil, Botafogo de Futebol e Regatas
Marçal, Lateral izquierdo, 36, Brasil, Botafogo de Futebol e Regatas
Vitinho, Lateral derecho, 25, Brasil, Botafogo de Futebol e Regatas
Mateo Ponte, Lateral derecho, 22, Uruguay, Botafogo de Futebol e Regatas
Marlon Freitas, Pivote, 30, Brasil, Botafogo de Futebol e Regatas
Gregore, Pivote, 31, Brasil, Botafogo de Futebol e Regatas
Danilo Barbosa, Pivote, 29, Brasil, Botafogo de Futebol e Regatas
Allan, Pivote, 34, Brasil, Botafogo de Futebol e Regatas
Patrick de Paula, Pivote, 25, Brasil, Botafogo de Futebol e Regatas
Newton, Pivote, 25, Brasil, Botafogo de Futebol e Regatas
Kauê, Mediocentro, 20, Brasil, Botafogo de Futebol e Regatas
Jefferson Savarino, Mediocentro ofensivo, 28, Venezuela, Botafogo de Futebol e Regatas
Santiago Rodríguez, Mediocentro ofensivo, 25, Uruguay, Botafogo de Futebol e Regatas
Kauan Lindes, Mediocentro ofensivo, 21, Brasil, Botafogo de Futebol e Regatas
Matheus Martins, Extremo izquierdo, 21, Brasil, Botafogo de Futebol e Regatas
Jeffinho, Extremo izquierdo, 25, Brasil, Botafogo de Futebol e Regatas
Yarlen, Extremo izquierdo, 19, Brasil, Botafogo de Futebol e Regatas
Artur, Extremo derecho, 27, Brasil, Botafogo de Futebol e Regatas
Nathan Fernandes, Extremo derecho, 20, Brasil, Botafogo de Futebol e Regatas
Rafael Lobato, Extremo derecho, 19, Brasil, Botafogo de Futebol e Regatas
Igor Jesus, Delantero centro, 24, Brasil, Botafogo de Futebol e Regatas
Rwan Cruz, Delantero centro, 24, Brasil, Botafogo de Futebol e Regatas
Elias Manoel, Delantero centro, 23, Brasil, Botafogo de Futebol e Regatas
Gonzalo Mastriani, Delantero centro, 32, Uruguay, Botafogo de Futebol e Regatas
Kayke, Delantero centro, 18, Brasil, Botafogo de Futebol e Regatas
Sergio Rochet, Portero, 32, Uruguay, Sport Club Internacional
