Matías Giménez, Delantero centro, 26, Argentina, CA Independiente
Gabriel Ávalos, Delantero centro, 34, Paraguay, CA Independiente
Santiago Hidalgo, Delantero centro, 19, Argentina, CA Independiente
Ignacio Maestro Puch, Delantero centro, 21, Argentina, CA Independiente


Axel Werner, Portero, 28, Argentina, CA Rosario Central
Jorge Broun, Portero, 38, Argentina, CA Rosario Central
Juan Giménez, Defensa central, 19, Argentina, CA Rosario Central
Facundo Mallo, Defensa central, 30, Uruguay, CA Rosario Central
Miguel Barbieri, Defensa central, 31, Argentina, CA Rosario Central
Juan Cruz Komar, Defensa central, 28, Argentina, CA Rosario Central
Carlos Quintana, Defensa central, 36, Argentina, CA Rosario Central
Agustín Bravo, Defensa central, 23, Argentina, CA Rosario Central
Agustín Sández, Lateral izquierdo, 24, Paraguay/Argentina, CA Rosario Central
Juan Elordi, Lateral izquierdo, 30, Argentina, CA Rosario Central
Emanuel Coronel, Lateral derecho, 27, Argentina, CA Rosario Central
Franco Ibarra, Pivote, 23, Argentina, CA Rosario Central
Federico Navarro, Pivote, 24, Argentina, CA Rosario Central
Kevin Ortiz, Pivote, 24, Argentina, CA Rosario Central
Tomás O'Connor, Mediocentro, 21, Argentina/Irlanda, CA Rosario Central
Enzo Giménez, Interior derecho, 26, Paraguay, CA Rosario Central
Augusto Solari, Interior derecho, 32, Argentina, CA Rosario Central
Elías Ocampo, Interior derecho, 20, Argentina, CA Rosario Central
Ignacio Malcorra, Mediocentro ofensivo, 37, Argentina, CA Rosario Central
Jonatan Gómez, Mediocentro ofensivo, 35, Argentina, CA Rosario Central
Santiago Segovia, Mediocentro ofensivo, 17, Argentina, CA Rosario Central
Jáminton Campaz, Extremo izquierdo, 24, Colombia, CA Rosario Central
Santiago López, Extremo izquierdo, 18, Argentina, CA Rosario Central
Maximiliano Lovera, Extremo izquierdo, 25, Argentina, CA Rosario Central
Lautaro Giaccone, Extremo derecho, 23, Argentina, CA Rosario Central
Gaspar Duarte, Extremo derecho, 21, Argentina, CA Rosario Central
Enzo Copetti, Delantero centro, 28, Argentina, CA Rosario Central
Sebastián Ferreira, Delantero centro, 26, Paraguay, CA Rosario Central
Agustín Módica, Delantero centro, 21, Italia/Argentina, CA Rosario Central


Ignacio Chicco, Portero, 28, Argentina, CA Belgrano
Juan Espínola, Portero, 30, Paraguay, CA Belgrano
Manuel Vicentini, Portero, 34, Argentina, CA Belgrano
Mariano Troilo, Defensa central, 21, Argentina, CA Belgrano
Nicolás Meriano, Defensa central, 24, Argentina, CA Belgrano
Fausto Grillo, Defensa central, 31, Argentina, CA Belgrano
Agustín Dattola, Defensa central, 25, Argentina, CA Belgrano
Aníbal Leguizamón, Defensa central, 32, Argentina, CA Belgrano
Agustin Baldi, Defensa central, 22, Argentina, CA Belgrano
Tobias Ostchega, Lateral izquierdo, 26, Argentina, CA Belgrano
Elías López, Lateral derecho, 24, Argentina, CA Belgrano
Santiago Longo, Pivote, 26, Argentina, CA Belgrano
Facundo Quignón, Pivote, 31, Argentina, CA Belgrano
Gerónimo Heredia, Pivote, 19, Argentina, CA Belgrano
Tiago Cravero, Pivote, 22, Argentina, CA Belgrano
Lucas Menossi, Mediocentro, 32, Argentina, CA Belgrano
Tomás Castro, Mediocentro, 22, Argentina, CA Belgrano
Gabriel Compagnucci, Interior derecho, 33, Argentina, CA Belgrano
