Luciano Cingolani, Extremo derecho, 24, Argentina, CA Gimnasia y Esgrima (Mendoza)
Nicolás Romano, Mediapunta, 25, Argentina, CA Gimnasia y Esgrima (Mendoza)
Nicolás Ferreyra, Delantero centro, 28, Argentina, CA Gimnasia y Esgrima (Mendoza)
Nicolás Servetto, Delantero centro, 29, Argentina, CA Gimnasia y Esgrima (Mendoza)
Mario Galeano, Delantero centro, 23, Argentina, CA Gimnasia y Esgrima (Mendoza)
Julián Moya, Delantero centro, 22, Argentina, CA Gimnasia y Esgrima (Mendoza)
Milton Álvarez, Portero, 36, Argentina, CA Gimnasia y Esgrima (Jujuy)
Sebastián Anchoverri, Portero, 34, Argentina, CA Gimnasia y Esgrima (Jujuy)
Gonzalo Gómez, Portero, 39, Argentina, CA Gimnasia y Esgrima (Jujuy)
Bruno Palazzo, Defensa central, 24, Argentina, CA Gimnasia y Esgrima (Jujuy)
Sebastián Sánchez, Defensa central, 36, Argentina, CA Gimnasia y Esgrima (Jujuy)
Leandro Barro, Defensa central, 22, Argentina, CA Gimnasia y Esgrima (Jujuy)
Emiliano Endrizzi, Lateral izquierdo, 31, Argentina, CA Gimnasia y Esgrima (Jujuy)
Nicolás Dematei, Lateral izquierdo, 37, Argentina, CA Gimnasia y Esgrima (Jujuy)
Guillermo Cosaro, Lateral izquierdo, 36, Argentina, CA Gimnasia y Esgrima (Jujuy)
Joaquín Vaquero, Lateral izquierdo, 22, Argentina, CA Gimnasia y Esgrima (Jujuy)
Fernando Duré, Lateral derecho, 28, Argentina, CA Gimnasia y Esgrima (Jujuy)
Franco Camargo, Lateral derecho, 24, Argentina, CA Gimnasia y Esgrima (Jujuy)
Diego López, Lateral derecho, 33, Argentina, CA Gimnasia y Esgrima (Jujuy)
Francisco Maidana, Pivote, 23, Argentina, CA Gimnasia y Esgrima (Jujuy)
Joaquín Trasante, Pivote, 26, Uruguay, CA Gimnasia y Esgrima (Jujuy)
Juan Pablo Córdoba, Pivote, 21, Argentina, CA Gimnasia y Esgrima (Jujuy)
Hugo Soria, Mediocentro, 35, Uruguay, CA Gimnasia y Esgrima (Jujuy)
Matías Noble, Interior izquierdo, 28, Argentina, CA Gimnasia y Esgrima (Jujuy)
Francisco Molina, Interior izquierdo, 34, Argentina, CA Gimnasia y Esgrima (Jujuy)
Santiago Camacho, Mediocentro ofensivo, 28, Argentina, CA Gimnasia y Esgrima (Jujuy)
Rodrigo Velázquez, Mediocentro ofensivo, 22, Argentina, CA Gimnasia y Esgrima (Jujuy)
José Vanetta, Extremo izquierdo, 23, Argentina, CA Gimnasia y Esgrima (Jujuy)
Daniel Juárez, Extremo derecho, 23, Argentina, CA Gimnasia y Esgrima (Jujuy)
Alejandro Quintana, Delantero centro, 33, Argentina, CA Gimnasia y Esgrima (Jujuy)
