Endrick, Delantero centro, 18, Brasil, Real Madrid CF
Álex Remiro, Portero, 30, España, Real Sociedad
Unai Marrero, Portero, 23, España, Real Sociedad
Nayef Aguerd, Defensa central, 29, Marruecos, Real Sociedad
Igor Zubeldia, Defensa central, 28, España, Real Sociedad
Jon Pacheco, Defensa central, 24, España, Real Sociedad
Aritz Elustondo, Defensa central, 31, España, Real Sociedad
Jon Martín, Defensa central, 19, España, Real Sociedad
Javi López, Lateral izquierdo, 23, España, Real Sociedad
Aihen Muñoz, Lateral izquierdo, 27, España, Real Sociedad
Jon Aramburu, Lateral derecho, 22, Venezuela, Real Sociedad
Hamari Traoré, Lateral derecho, 33, Malí, Real Sociedad
Álvaro Odriozola, Lateral derecho, 29, España, Real Sociedad
Martín Zubimendi, Pivote, 26, España, Real Sociedad
Luka Sucic, Mediocentro, 22, Croacia, Real Sociedad
Beñat Turrientes, Mediocentro, 23, España, Real Sociedad
Jon Ander Olasagasti, Mediocentro, 24, España, Real Sociedad
Brais Méndez, Mediocentro ofensivo, 28, España, Real Sociedad
Arsen Zakharyan, Mediocentro ofensivo, 22, Rusia, Real Sociedad
Pablo Marín, Mediocentro ofensivo, 21, España, Real Sociedad
Sergio Gómez, Extremo izquierdo, 24, España, Real Sociedad
Ander Barrenetxea, Extremo izquierdo, 23, España, Real Sociedad
Sheraldo Becker, Extremo izquierdo, 30, Surinam, Real Sociedad
Arkaitz Mariezkurrena, Extremo izquierdo, 20, España, Real Sociedad
Takefusa Kubo, Extremo derecho, 23, Japón, Real Sociedad
Mikel Oyarzabal, Delantero centro, 28, España, Real Sociedad
Orri Óskarsson, Delantero centro, 20, Islandia, Real Sociedad
Giorgi Mamardashvili, Portero, 24, Georgia, Valencia CF
Stole Dimitrievski, Portero, 31, Macedonia del Norte, Valencia CF
Jaume Doménech, Portero, 34, España, Valencia CF
Cristhian Mosquera, Defensa central, 20, España, Valencia CF
Yarek Gasiorowski, Defensa central, 20, España, Valencia CF
César Tárrega, Defensa central, 23, España, Valencia CF
Mouctar Diakhaby, Defensa central, 28, Guinea, Valencia CF
José Gayà, Lateral izquierdo, 30, España, Valencia CF
Jesús Vázquez, Lateral izquierdo, 22, España, Valencia CF
Max Aarons, Lateral derecho, 25, Inglaterra, Valencia CF
Thierry Correia, Lateral derecho, 26, Portugal, Valencia CF
Dimitri Foulquier, Lateral derecho, 32, Guadalupe, Valencia CF
Pepelu, Pivote, 26, España, Valencia CF
Enzo Barrenechea, Pivote, 24, Argentina, Valencia CF
Hugo Guillamón, Pivote, 25, España, Valencia CF
Javi Guerra, Mediocentro, 22, España, Valencia CF
André Almeida, Mediocentro ofensivo, 25, Portugal, Valencia CF
Iván Jaime, Mediocentro ofensivo, 24, España, Valencia CF
Martín Tejón, Mediocentro ofensivo, 21, España, Valencia CF
Luis Rioja, Extremo izquierdo, 31, España, Valencia CF
Sergi Canós, Extremo izquierdo, 28, España, Valencia CF
Diego López, Extremo derecho, 23, España, Valencia CF
Fran Pérez, Extremo derecho, 22, España, Valencia CF
Hugo Duro, Delantero centro, 25, España, Valencia CF
Umar Sadiq, Delantero centro, 28, Nigeria, Valencia CF
Rafa Mir, Delantero centro, 27, España, Valencia CF
Juan Soriano, Portero, 27, España, CD Leganés
Marko Dmitrovic, Portero, 33, Serbia, CD Leganés
Sergio González, Defensa central, 33, España, CD Leganés
Jorge Sáenz, Defensa central, 28, España, CD Leganés
Matija Nastasić, Defensa central, 32, Serbia, CD Leganés
Javi Hernández, Lateral izquierdo, 27, España, CD Leganés
Enric Franquesa, Lateral izquierdo, 28, España, CD Leganés
Borna Barisic, Lateral izquierdo, 32, Croacia, CD Leganés
Valentin Rosier, Lateral derecho, 28, Francia, CD Leganés
Adrià Altimira, Lateral derecho, 24, España, CD Leganés
Renato Tapia, Pivote, 29, Perú, CD Leganés
Yvan Neyou, Pivote, 28, Camerún, CD Leganés
Julián Chicco, Pivote, 27, Argentina, CD Leganés
Seydouba Cissé, Mediocentro, 24, Guinea, CD Leganés
Darko Brasanac, Mediocentro, 33, Serbia, CD Leganés
Óscar Rodríguez, Mediocentro ofensivo, 26, España, CD Leganés
Roberto López, Mediocentro ofensivo, 25, España, CD Leganés
Juan Cruz, Extremo izquierdo, 25, España, CD Leganés
Duk, Extremo izquierdo, 25, Cabo Verde, CD Leganés
Yan Diomande, Extremo izquierdo, 18, Costa de Marfil, CD Leganés
Dani Raba, Extremo derecho, 29, España, CD Leganés
Munir El Haddadi, Extremo derecho, 29, Marruecos, CD Leganés
Miguel de la Fuente, Delantero centro, 25, España, CD Leganés
Diego García, Delantero centro, 25, España, CD Leganés
Augusto Batalla, Portero, 29, Argentina, Rayo Vallecano
Dani Cárdenas, Portero, 28, España, Rayo Vallecano
Abdul Mumin, Defensa central, 26, Ghana, Rayo Vallecano
Florian Lejeune, Defensa central, 34, Francia, Rayo Vallecano
Pelayo Fernández, Defensa central, 22, España, Rayo Vallecano
Aridane Hernández, Defensa central, 36, España, Rayo Vallecano
Pep Chavarría, Lateral izquierdo, 27, España, Rayo Vallecano
Alfonso Espino, Lateral izquierdo, 33, Uruguay, Rayo Vallecano
Andrei Rațiu, Lateral derecho, 26, Rumania, Rayo Vallecano
Iván Balliu, Lateral derecho, 33, Albania, Rayo Vallecano
Gerard Gumbau, Pivote, 30, España, Rayo Vallecano
Óscar Valentín, Mediocentro, 30, España, Rayo Vallecano
Unai López, Mediocentro, 29, España, Rayo Vallecano
Pedro Díaz, Mediocentro, 26, España, Rayo Vallecano
Pathé Ciss, Mediocentro, 31, Senegal, Rayo Vallecano
Randy Nteka, Mediocentro ofensivo, 27, Angola, Rayo Vallecano
Joni Montiel, Mediocentro ofensivo, 26, España, Rayo Vallecano
Oscar Trejo, Mediocentro ofensivo, 37, Argentina, Rayo Vallecano
Álvaro García, Extremo izquierdo, 32, España, Rayo Vallecano
Jorge de Frutos, Extremo derecho, 28, España, Rayo Vallecano
Adrián Embarba, Extremo derecho, 33, España, Rayo Vallecano
Isi Palazón, Mediapunta, 30, España, Rayo Vallecano
Sergio Camello, Delantero centro, 24, España, Rayo Vallecano
Raúl de Tomás, Delantero centro, 30, España, Rayo Vallecano
Sergi Guardiola, Delantero centro, 34, España, Rayo Vallecano
Antonio Sivera, Portero, 28, España, Deportivo Alavés
Jesús Owono, Portero, 24, Guinea Ecuatorial, Deportivo Alavés
Adrián Rodríguez, Portero, 24, Argentina, Deportivo Alavés
Abdel Abqar, Defensa central, 26, Marruecos, Deportivo Alavés
Santiago Mouriño, Defensa central, 23, Uruguay, Deportivo Alavés
Moussa Diarra, Defensa central, 24, Malí, Deportivo Alavés
Adrián Pica, Defensa central, 23, España, Deportivo Alavés
Facundo Garcés, Defensa central, 25, Argentina, Deportivo Alavés
Aleksandar Sedlar, Defensa central, 33, Serbia, Deportivo Alavés
Manu Sánchez, Lateral izquierdo, 24, España, Deportivo Alavés
Nahuel Tenaglia, Lateral derecho, 29, Argentina, Deportivo Alavés
Hugo Novoa, Lateral derecho, 22, España, Deportivo Alavés
Antonio Blanco, Pivote, 24, España, Deportivo Alavés
Carlos Protesoni, Pivote, 27, Uruguay, Deportivo Alavés
Ander Guevara, Mediocentro, 27, España, Deportivo Alavés
Jon Guridi, Mediocentro, 30, España, Deportivo Alavés
Carles Aleñá, Mediocentro, 27, España, Deportivo Alavés
Joan Jordán, Mediocentro, 30, España, Deportivo Alavés
Carlos Martín, Extremo izquierdo, 23, España, Deportivo Alavés
Tomás Conechny, Extremo izquierdo, 27, Argentina, Deportivo Alavés
Carlos Vicente, Extremo derecho, 26, España, Deportivo Alavés
Toni Martínez, Delantero centro, 27, España, Deportivo Alavés
Asier Villalibre, Delantero centro, 27, España, Deportivo Alavés
Kike García, Delantero centro, 35, España, Deportivo Alavés
Pau Cabanes, Delantero centro, 20, España, Deportivo Alavés
Karl Hein, Portero, 23, Estonia, Real Valladolid CF
André Ferreira, Portero, 29, Portugal, Real Valladolid CF
Eray Cömert, Defensa central, 27, Suiza, Real Valladolid CF
Javi Sánchez, Defensa central, 28, España, Real Valladolid CF
Cenk Özkacar, Defensa central, 24, Turquía, Real Valladolid CF
David Torres, Defensa central, 22, España, Real Valladolid CF
Joseph Aidoo, Defensa central, 29, Ghana, Real Valladolid CF
Henrique Silva, Lateral izquierdo, 31, Brasil, Real Valladolid CF
Antonio Candela, Lateral derecho, 25, Italia, Real Valladolid CF
Luis Pérez, Lateral derecho, 30, España, Real Valladolid CF
Florian Grillitsch, Pivote, 29, Austria, Real Valladolid CF
Mario Martín, Pivote, 21, España, Real Valladolid CF
Stanko Juric, Pivote, 28, Croacia, Real Valladolid CF
Tamás Nikitscher, Mediocentro, 25, Hungría, Real Valladolid CF
Ibrahim Alani, Mediocentro, 18, Nigeria, Real Valladolid CF
Selim Amallah, Mediocentro ofensivo, 28, Marruecos, Real Valladolid CF
Chuki, Mediocentro ofensivo, 21, España, Real Valladolid CF
Raúl Moro, Extremo izquierdo, 22, España, Real Valladolid CF
Darwin Machís, Extremo izquierdo, 32, Venezuela, Real Valladolid CF
Kenedy, Extremo izquierdo, 29, Brasil, Real Valladolid CF
Amath Ndiaye, Extremo derecho, 28, Senegal, Real Valladolid CF
Anuar, Extremo derecho, 30, Marruecos, Real Valladolid CF
Iván Sánchez, Extremo derecho, 32, España, Real Valladolid CF
Juanmi Latasa, Delantero centro, 24, España, Real Valladolid CF
Mamadou Sylla, Delantero centro, 31, Senegal, Real Valladolid CF
Marcos André, Delantero centro, 28, Brasil, Real Valladolid CF
Dominik Greif, Portero, 28, Eslovaquia, RCD Mallorca
Leo Román, Portero, 24, España, RCD Mallorca
Iván Cuéllar, Portero, 41, España, RCD Mallorca
Martin Valjent, Defensa central, 29, Eslovaquia, RCD Mallorca
José Copete, Defensa central, 25, España, RCD Mallorca
Antonio Raíllo, Defensa central, 33, España, RCD Mallorca
David López, Defensa central, 22, España, RCD Mallorca
Johan Mojica, Lateral izquierdo, 32, Colombia, RCD Mallorca
Toni Lato, Lateral izquierdo, 27, España, RCD Mallorca
Pablo Maffeo, Lateral derecho, 27, Argentina, RCD Mallorca
Mateu Morey, Lateral derecho, 25, España, RCD Mallorca
Samú Costa, Pivote, 24, Portugal, RCD Mallorca
Omar Mascarell, Pivote, 32, Guinea Ecuatorial, RCD Mallorca
Sergi Darder, Mediocentro, 31, España, RCD Mallorca
Manu Morlanes, Mediocentro, 26, España, RCD Mallorca
Antonio Sánchez, Mediocentro, 28, España, RCD Mallorca
Robert Navarro, Mediocentro ofensivo, 23, España, RCD Mallorca
Dani Rodríguez, Mediocentro ofensivo, 36, España, RCD Mallorca
Chiquinho, Extremo izquierdo, 25, Portugal, RCD Mallorca
Takuma Asano, Extremo derecho, 30, Japón, RCD Mallorca
Valery Fernández, Extremo derecho, 25, España, RCD Mallorca
Vedat Muriqi, Delantero centro, 31, Kosovo, RCD Mallorca
Cyle Larin, Delantero centro, 30, Canadá, RCD Mallorca
Abdón Prats, Delantero centro, 32, España, RCD Mallorca
Marc Domènech, Delantero centro, 18, España, RCD Mallorca
David Soria, Portero, 32, España, Getafe CF
Jiri Letacek, Portero, 26, República Checa, Getafe CF
Omar Alderete, Defensa central, 28, Paraguay, Getafe CF
Djené, Defensa central, 33, Togo, Getafe CF
Juan Berrocal, Defensa central, 26, España, Getafe CF
Domingos Duarte, Defensa central, 30, Portugal, Getafe CF
Juan Bernat, Lateral izquierdo, 32, España, Getafe CF
Diego Rico, Lateral izquierdo, 32, España, Getafe CF
Juan Iglesias, Lateral derecho, 26, España, Getafe CF
